productcode,productprice,availability,freeshippingitem
1324-1QC,1351.1,Usually Ships in 1 to 2 Weeks,N
2300QC,2684.5,Usually Ships in 1 to 2 Weeks,N
2300QCTwin-Pac,5504.7,Usually Ships in 1 to 2 Weeks,N
2326QC,3191.9,Usually Ships in 1 to 2 Weeks,N
2326QC-Twin-Pack,6236.3,Usually Ships in 1 to 2 Weeks,N
2700QC-Twin-Pac,9504.9,Usually Ships in 1 to 2 Weeks,N
3324-105,0.0,Usually Ships in 1 to 2 Weeks,N
3324-50,6295.3,Usually Ships in 1 to 2 Weeks,N
3324QC-105,7068.2,Usually Ships in 1 to 2 Weeks,N
3324QC-200,8035.8,Usually Ships in 1 to 2 Weeks,N
3324QC-300,8714.3,Usually Ships in 1 to 2 Weeks,N
3324QC-400,9438.82,Usually Ships in 1 to 2 Weeks,N
3326QC-105,7227.5,Usually Ships in 1 to 2 Weeks,N
3326QC-200,8189.2,Usually Ships in 1 to 2 Weeks,N
3326QC-300,8785.1,Usually Ships in 1 to 2 Weeks,N
3326QC-400,9499.0,Usually Ships in 1 to 2 Weeks,N
3326QC-50,6423.92,Usually Ships in 1 to 2 Weeks,N
3328,6431.0,Usually Ships in 1 to 2 Weeks,N
3328-105,7375.0,Usually Ships in 1 to 2 Weeks,N
3328-200,8336.7,Usually Ships in 1 to 2 Weeks,N
3328-300,8867.7,Usually Ships in 1 to 2 Weeks,N
3328-400,9569.8,Usually Ships in 1 to 2 Weeks,N
3328-50,6796.8,Usually Ships in 1 to 2 Weeks,N
53025-24V,696.2,Usually Ships in 1 to 2 Weeks,N
53050-12V,696.2,Usually Ships in 1 to 2 Weeks,N
53105,1174.1,Usually Ships in 1 to 2 Weeks,N
6028QC,3457.4,Usually Ships in 1 to 2 Weeks,N
6028QC-Twin-Pac,7770.3,Usually Ships in 1 to 2 Weeks,N
LI2000QC,3451.5,Usually Ships in 1 to 2 Weeks,N
LI2600QC,3289.84,Usually Ships in 1 to 2 Weeks,N
Li2700QC,4517.04,Usually Ships in 1 to 2 Weeks,N
Li2700QC-TP,9504.9,Usually Ships in 1 to 2 Weeks,N
Li2800QC,4531.2,Usually Ships in 1 to 2 Weeks,N
Li2800QC-TP,9504.9,Usually Ships in 1 to 2 Weeks,N
